,PM2.5,PM10,CO,NO2,SO2,O3,����,ѹǿ,��ˮ��,�¶�,ʪ��,time,gkPM2.5
0,50,98,0.8,62,15,46,0.5,1020.6,89.8,15,65,2018/11/14 10:00,33
1,41,81,0.7,46,15,58,0.7,1019.7,89.8,17,58,2018/11/14 11:00,32
2,46,89,0.7,41,16,70,1.5,1018.5,89.8,18,52,2018/11/14 12:00,33
3,43,87,0.8,47,15,63,1.2,1017.8,89.8,17,52,2018/11/14 13:00,35
4,45,92,0.7,59,15,63,0.7,1017,89.8,19,49,2018/11/14 14:00,30
5,51,96,0.8,57,15,64,0.8,1017.4,89.8,17,53,2018/11/14 15:00,33
6,48,94,0.7,54,15,66,2.1,1017.4,89.8,17,56,2018/11/14 16:00,37
7,44,88,0.8,84,16,112,0.4,1017.6,89.8,16,59,2018/11/14 17:00,44
8,48,96,0.7,91,15,112,0.7,1018.2,89.8,15,63,2018/11/14 18:00,48
9,59,104,0.7,31,16,107,0.3,1018.1,89.8,15,66,2018/11/14 19:00,40
10,58,106,0.8,81,17,107,0.3,1018.3,89.8,14,70,2018/11/14 20:00,56
11,63,114,0.8,88,16,106,1.3,1018.6,89.8,15,70,2018/11/14 21:00,51
12,68,128,0.8,72,16,101,1,1018.9,89.8,14,71,2018/11/14 22:00,50
13,73,127,0.8,75,16,98,0.8,1018.7,89.8,14,71,2018/11/14 23:00,55
14,73,130,0.8,70,16,98,0.8,1018.5,89.8,14,73,2018/11/15 0:00,50
15,60,111,0.7,61,16,78,0.8,1018.7,89.8,14,73,2018/11/15 1:00,46
16,48,96,0.7,56,15,41,0.9,1018.3,89.8,14,68,2018/11/15 2:00,43
17,41,81,0.7,60,15,71,0.2,1017.8,89.9,14,69,2018/11/15 3:00,32
18,43,87,0.7,53,15,40,2.3,1017.9,89.9,14,73,2018/11/15 4:00,30
19,57,107,0.7,62,16,91,0.5,1018.3,90,13,79,2018/11/15 5:00,36
20,76,133,0.7,71,16,89,0.3,1018.5,91.1,12,89,2018/11/15 6:00,39
21,64,115,0.7,71,16,89,0.3,1019.2,92.5,12,93,2018/11/15 7:00,44
22,55,105,0.7,78,15,89,0.8,1019.6,94.6,12,94,2018/11/15 8:00,35
23,44,88,0.6,79,15,91,0.5,1019.9,94.8,12,93,2018/11/15 9:00,27
24,37,72,0.7,73,16,94,0.5,1017.4,94.9,14,79,2018/11/15 13:00,23
25,38,76,0.7,75,15,90,0.6,1017.1,95,15,80,2018/11/15 14:00,21
26,36,72,0.7,84,15,92,0.6,1017.3,95,15,79,2018/11/15 15:00,22
27,40,83,0.7,95,16,95,0.7,1017,95,15,80,2018/11/15 16:00,22
28,36,71,0.7,88,15,95,0.4,1017.6,95,14,79,2018/11/15 17:00,20
29,36,71,0.7,53,16,97,1.1,1018.3,95,15,78,2018/11/15 18:00,20
30,20,36,0.7,59,16,88,1.1,1018.8,95,14,76,2018/11/15 19:00,18
31,40,83,0.7,79,16,90,0.7,1018.9,95,14,79,2018/11/15 20:00,23
32,44,88,0.7,80,15,90,0.1,1019.4,95,14,81,2018/11/15 21:00,27
33,36,70,0.7,70,15,89,0.7,1019.7,95,14,83,2018/11/15 22:00,20
34,36,74,0.7,67,15,87,0.2,1019.8,95.2,13,90,2018/11/15 23:00,17
35,34,66,0.7,61,15,85,0.3,1019.8,95.2,13,90,2018/11/16 0:00,12
36,33,65,0.7,56,15,84,0.9,1019.5,95.6,12,93,2018/11/16 1:00,13
37,32,62,0.7,50,14,41,0.5,1019.8,95.7,12,91,2018/11/16 2:00,16
38,36,72,0.6,45,15,42,1.9,1019.9,95.8,12,92,2018/11/16 3:00,16
39,44,92,0.6,49,15,75,0.4,1020.1,95.8,12,92,2018/11/16 4:00,18
40,44,91,0.7,41,14,42,0.3,1020.4,95.8,12,91,2018/11/16 5:00,23
41,44,94,0.6,46,15,42,0.3,1020.9,95.8,12,90,2018/11/16 6:00,24
42,44,91,0.7,77,15,89,2,1020.7,95.8,11,90,2018/11/16 7:00,20
43,39,79,0.7,56,15,75,0.5,1022.5,95.8,12,85,2018/11/16 8:00,26
44,32,65,0.6,55,16,48,0.8,1022.6,95.8,12,80,2018/11/16 9:00,16
45,31,55,0.6,60,15,44,1.5,1022.9,95.8,13,76,2018/11/16 10:00,14
46,37,75,0.7,56,15,53,0.5,1022.9,95.8,14,76,2018/11/16 11:00,15
47,40,80,0.7,51,15,59,1.2,1022.4,95.8,13,76,2018/11/16 12:00,21
48,43,89,0.7,47,14,61,1.7,1021.8,95.8,13,75,2018/11/16 13:00,22
49,40,76,0.7,51,15,52,0.7,1021.3,95.8,13,78,2018/11/16 14:00,23
50,43,88,0.7,44,14,46,1.8,1021.8,95.8,12,80,2018/11/16 15:00,16
51,42,85,0.6,59,15,83,0.5,1021.5,95.8,11,90,2018/11/16 16:00,19
52,47,100,0.6,59,16,83,2.9,1022.4,95.8,11,91,2018/11/16 17:00,23
53,60,117,0.6,54,16,84,2.8,1022.7,95.8,10,92,2018/11/16 18:00,26
54,52,111,0.7,64,16,84,1.9,1023.3,95.8,11,86,2018/11/16 19:00,28
55,44,93,0.7,47,15,61,2.3,1023.5,95.8,11,79,2018/11/16 20:00,30
56,44,89,0.7,47,15,69,1,1023.4,95.8,11,80,2018/11/16 21:00,29
57,46,94,0.7,54,16,83,0.5,1023.7,95.8,10,80,2018/11/16 22:00,31
58,44,91,0.7,50,15,79,0.8,1023.7,95.8,10,80,2018/11/16 23:00,42
59,46,97,0.7,46,16,37,0.8,1023.9,95.8,10,78,2018/11/17 0:00,26
