,PM2.5,PM10,CO,NO2,SO2,O3,����,ѹǿ,��ˮ��,�¶�,ʪ��,time
0,50.0,98.0,0.8,62.0,15.0,46.0,0.5,1020.6,89.8,15.0,65.0,2018/11/14 10:00
1,41.0,81.0,0.7,46.0,15.0,58.0,0.7,1019.7,89.8,17.0,58.0,2018/11/14 11:00
2,46.0,89.0,0.7,41.0,16.0,70.0,1.5,1018.5,89.8,18.0,52.0,2018/11/14 12:00
3,43.0,87.0,0.8,47.0,15.0,63.0,1.2,1017.8,89.8,17.0,52.0,2018/11/14 13:00
4,45.0,92.0,0.7,59.0,15.0,63.0,0.7,1017.0,89.8,19.0,49.0,2018/11/14 14:00
5,51.0,96.0,0.8,57.0,15.0,64.0,0.8,1017.4,89.8,17.0,53.0,2018/11/14 15:00
6,48.0,94.0,0.7,54.0,15.0,66.0,2.1,1017.4,89.8,17.0,56.0,2018/11/14 16:00
7,44.0,88.0,0.8,84.0,16.0,112.0,0.4,1017.6,89.8,16.0,59.0,2018/11/14 17:00
8,48.0,96.0,0.7,91.0,15.0,112.0,0.7,1018.2,89.8,15.0,63.0,2018/11/14 18:00
9,59.0,104.0,0.7,31.0,16.0,107.0,0.3,1018.1,89.8,15.0,66.0,2018/11/14 19:00
10,58.0,106.0,0.8,81.0,17.0,107.0,0.3,1018.3,89.8,14.0,70.0,2018/11/14 20:00
11,63.0,114.0,0.8,88.0,16.0,106.0,1.3,1018.6,89.8,15.0,70.0,2018/11/14 21:00
12,68.0,128.0,0.8,72.0,16.0,101.0,1.0,1018.9,89.8,14.0,71.0,2018/11/14 22:00
13,73.0,127.0,0.8,75.0,16.0,98.0,0.8,1018.7,89.8,14.0,71.0,2018/11/14 23:00
14,73.0,130.0,0.8,70.0,16.0,98.0,0.8,1018.5,89.8,14.0,73.0,2018/11/15 0:00
15,60.0,111.0,0.7,61.0,16.0,78.0,0.8,1018.7,89.8,14.0,73.0,2018/11/15 1:00
16,48.0,96.0,0.7,56.0,15.0,41.0,0.9,1018.3,89.8,14.0,68.0,2018/11/15 2:00
17,41.0,81.0,0.7,60.0,15.0,71.0,0.2,1017.8,89.9,14.0,69.0,2018/11/15 3:00
18,43.0,87.0,0.7,53.0,15.0,40.0,2.3,1017.9,89.9,14.0,73.0,2018/11/15 4:00
19,57.0,107.0,0.7,62.0,16.0,91.0,0.5,1018.3,90.0,13.0,79.0,2018/11/15 5:00
20,76.0,133.0,0.7,71.0,16.0,89.0,0.3,1018.5,91.1,12.0,89.0,2018/11/15 6:00
21,64.0,115.0,0.7,71.0,16.0,89.0,0.3,1019.2,92.5,12.0,93.0,2018/11/15 7:00
22,55.0,105.0,0.7,78.0,15.0,89.0,0.8,1019.6,94.6,12.0,94.0,2018/11/15 8:00
23,44.0,88.0,0.6,79.0,15.0,91.0,0.5,1019.9,94.8,12.0,93.0,2018/11/15 9:00
24,37.0,72.0,0.7,73.0,16.0,94.0,0.5,1017.4,94.9,14.0,79.0,2018/11/15 13:00
25,38.0,76.0,0.7,75.0,15.0,90.0,0.6,1017.1,95.0,15.0,80.0,2018/11/15 14:00
26,36.0,72.0,0.7,84.0,15.0,92.0,0.6,1017.3,95.0,15.0,79.0,2018/11/15 15:00
27,40.0,83.0,0.7,95.0,16.0,95.0,0.7,1017.0,95.0,15.0,80.0,2018/11/15 16:00
28,36.0,71.0,0.7,88.0,15.0,95.0,0.4,1017.6,95.0,14.0,79.0,2018/11/15 17:00
29,36.0,71.0,0.7,53.0,16.0,97.0,1.1,1018.3,95.0,15.0,78.0,2018/11/15 18:00
30,20.0,36.0,0.7,59.0,16.0,88.0,1.1,1018.8,95.0,14.0,76.0,2018/11/15 19:00
31,40.0,83.0,0.7,79.0,16.0,90.0,0.7,1018.9,95.0,14.0,79.0,2018/11/15 20:00
32,44.0,88.0,0.7,80.0,15.0,90.0,0.1,1019.4,95.0,14.0,81.0,2018/11/15 21:00
33,36.0,70.0,0.7,70.0,15.0,89.0,0.7,1019.7,95.0,14.0,83.0,2018/11/15 22:00
34,36.0,74.0,0.7,67.0,15.0,87.0,0.2,1019.8,95.2,13.0,90.0,2018/11/15 23:00
35,34.0,66.0,0.7,61.0,15.0,85.0,0.3,1019.8,95.2,13.0,90.0,2018/11/16 0:00
36,33.0,65.0,0.7,56.0,15.0,84.0,0.9,1019.5,95.6,12.0,93.0,2018/11/16 1:00
37,32.0,62.0,0.7,50.0,14.0,41.0,0.5,1019.8,95.7,12.0,91.0,2018/11/16 2:00
38,36.0,72.0,0.6,45.0,15.0,42.0,1.9,1019.9,95.8,12.0,92.0,2018/11/16 3:00
39,44.0,92.0,0.6,49.0,15.0,75.0,0.4,1020.1,95.8,12.0,92.0,2018/11/16 4:00
40,44.0,91.0,0.7,41.0,14.0,42.0,0.3,1020.4,95.8,12.0,91.0,2018/11/16 5:00
41,44.0,94.0,0.6,46.0,15.0,42.0,0.3,1020.9,95.8,12.0,90.0,2018/11/16 6:00
42,44.0,91.0,0.7,77.0,15.0,89.0,2.0,1020.7,95.8,11.0,90.0,2018/11/16 7:00
43,39.0,79.0,0.7,56.0,15.0,75.0,0.5,1022.5,95.8,12.0,85.0,2018/11/16 8:00
44,32.0,65.0,0.6,55.0,16.0,48.0,0.8,1022.6,95.8,12.0,80.0,2018/11/16 9:00
45,31.0,55.0,0.6,60.0,15.0,44.0,1.5,1022.9,95.8,13.0,76.0,2018/11/16 10:00
46,37.0,75.0,0.7,56.0,15.0,53.0,0.5,1022.9,95.8,14.0,76.0,2018/11/16 11:00
47,40.0,80.0,0.7,51.0,15.0,59.0,1.2,1022.4,95.8,13.0,76.0,2018/11/16 12:00
48,43.0,89.0,0.7,47.0,14.0,61.0,1.7,1021.8,95.8,13.0,75.0,2018/11/16 13:00
49,40.0,76.0,0.7,51.0,15.0,52.0,0.7,1021.3,95.8,13.0,78.0,2018/11/16 14:00
50,43.0,88.0,0.7,44.0,14.0,46.0,1.8,1021.8,95.8,12.0,80.0,2018/11/16 15:00
51,42.0,85.0,0.6,59.0,15.0,83.0,0.5,1021.5,95.8,11.0,90.0,2018/11/16 16:00
