,,PM2.5,PM10,CO,NO2,SO2,O3,time
0,0,33,71,0.756,9,25,80,2018/11/14 10:00
1,1,32,69,0.736,9,22,86,2018/11/14 11:00
2,2,33,64,0.804,9,26,88,2018/11/14 12:00
3,3,35,63,0.75,8,26,88,2018/11/14 13:00
4,4,30,69,0.855,8,34,88,2018/11/14 14:00
5,5,33,76,0.763,8,37,89,2018/11/14 15:00
6,6,37,79,0.768,8,47,77,2018/11/14 16:00
7,7,44,82,0.863,8,72,40,2018/11/14 17:00
8,8,48,102,0.876,8,56,50,2018/11/14 18:00
9,9,40,92,0.994,7,81,22,2018/11/14 19:00
10,10,56,112,0.944,8,76,18,2018/11/14 20:00
11,11,51,89,0.862,8,38,56,2018/11/14 21:00
12,12,50,85,0.934,9,36,58,2018/11/14 22:00
13,13,55,85,0.919,9,36,57,2018/11/14 23:00
14,14,50,81,0.873,9,32,59,2018/11/15 0:00
15,15,46,71,0.839,9,26,65,2018/11/15 1:00
16,16,43,59,0.781,10,25,68,2018/11/15 2:00
17,17,32,51,0.739,9,24,69,2018/11/15 3:00
18,18,30,47,0.743,9,23,64,2018/11/15 4:00
19,19,36,50,0.881,8,37,39,2018/11/15 5:00
20,20,39,54,0.792,7,34,38,2018/11/15 6:00
21,21,44,45,0.706,6,32,41,2018/11/15 7:00
22,22,35,29,0.68,6,33,42,2018/11/15 8:00
23,23,27,31,0.733,7,37,41,2018/11/15 9:00
24,24,,,,,,,2018/11/15 10:00
25,25,,,,,,,2018/11/15 11:00
26,26,,,,,,,2018/11/15 12:00
27,27,23,42,0.616,7,36,28,2018/11/15 13:00
28,28,21,29,0.598,7,42,25,2018/11/15 14:00
29,29,22,35,0.679,8,51,19,2018/11/15 15:00
30,30,22,36,0.694,9,50,20,2018/11/15 16:00
31,31,20,36,0.648,8,56,18,2018/11/15 17:00
32,32,20,41,0.601,8,38,30,2018/11/15 18:00
33,33,18,28,0.524,8,35,34,2018/11/15 19:00
34,34,23,29,0.589,11,44,24,2018/11/15 20:00
35,35,27,37,0.56,11,38,29,2018/11/15 21:00
36,36,20,34,0.53,9,32,32,2018/11/15 22:00
37,37,17,24,0.519,7,26,35,2018/11/15 23:00
38,38,12,17,0.499,7,21,41,2018/11/16 0:00
39,39,13,17,0.486,6,16,48,2018/11/16 1:00
40,40,16,17,0.475,7,16,51,2018/11/16 2:00
41,41,16,17,0.481,6,14,49,2018/11/16 3:00
42,42,18,25,0.488,6,16,44,2018/11/16 4:00
43,43,23,24,0.479,6,15,50,2018/11/16 5:00
44,44,24,22,0.504,6,25,44,2018/11/16 6:00
45,45,20,29,0.561,7,33,39,2018/11/16 7:00
46,46,26,22,0.537,7,25,62,2018/11/16 8:00
47,47,16,24,0.508,7,25,70,2018/11/16 9:00
48,48,14,21,0.542,6,25,74,2018/11/16 10:00
49,49,15,29,0.563,7,22,80,2018/11/16 11:00
50,50,21,25,0.596,7,19,87,2018/11/16 12:00
51,51,22,31,0.615,6,19,84,2018/11/16 13:00
52,52,23,29,0.676,6,22,65,2018/11/16 14:00
53,53,16,32,0.655,7,20,47,2018/11/16 15:00
54,54,19,21,0.652,6,22,35,2018/11/16 16:00
55,55,23,28,0.659,6,24,33,2018/11/16 17:00
56,56,26,35,0.658,6,28,33,2018/11/16 18:00
57,57,28,44,0.651,7,21,42,2018/11/16 19:00
58,58,30,39,0.672,8,19,47,2018/11/16 20:00
59,59,29,40,0.685,7,18,46,2018/11/16 21:00
60,60,31,35,0.678,6,23,42,2018/11/16 22:00
61,61,42,36,0.666,9,21,42,2018/11/16 23:00
62,62,26,37,0.648,10,18,46,2018/11/17 0:00
63,63,26,41,0.548,8,16,48,2018/11/17 1:00
64,64,18,28,0.445,6,12,53,2018/11/17 2:00
65,65,11,17,0.44,6,15,48,2018/11/17 3:00
66,66,8,22,0.471,8,19,38,2018/11/17 4:00
67,67,19,25,0.498,8,21,36,2018/11/17 5:00
68,68,15,26,0.559,7,27,29,2018/11/17 6:00
69,69,8,27,0.58,7,35,19,2018/11/17 7:00
70,70,17,38,0.63,8,28,26,2018/11/17 8:00
71,71,17,38,0.685,8,26,39,2018/11/17 9:00
72,72,15,40,0.587,7,33,34,2018/11/17 10:00
73,73,13,40,0.576,7,30,39,2018/11/17 11:00
74,74,16,46,0.575,7,31,38,2018/11/17 12:00
75,75,15,52,0.543,8,31,39,2018/11/17 13:00
76,76,21,47,0.555,8,38,34,2018/11/17 14:00
77,77,16,47,0.58,8,42,31,2018/11/17 15:00
78,78,28,46,0.569,8,43,35,2018/11/17 16:00
79,79,20,59,0.626,7,43,34,2018/11/17 17:00
80,80,30,55,0.631,7,43,32,2018/11/17 18:00
